seed,protocol,trials,optimism_gap
8,leaky,5,0.010505800615637217
8,leaky,10,0.01052180701819816
8,leaky,20,0.010537827781106901
8,leaky,40,0.010457795768301859
8,anti_leakage,1,0.01028156737630559
8,anti_leakage,5,0.010553791102624666
8,anti_leakage,10,0.010505714453550752
8,anti_leakage,20,0.01050572881389844
8,anti_leakage,40,0.010457680885520015
9,leaky,1,-0.006366971651923237
9,leaky,5,-0.00562163751620548
9,leaky,10,-0.005768552332900856
9,leaky,20,-0.005316034179834617
9,leaky,40,-0.00518697497055598
9,anti_leakage,1,-0.006366971651923237
9,anti_leakage,5,-0.006156743611476001
9,anti_leakage,10,-0.0063347068496036885
9,anti_leakage,20,-0.006284586439867068
9,anti_leakage,40,-0.006300820206100788
10,leaky,1,0.005706549179286369
10,leaky,5,0.005707577290249732
10,leaky,10,0.005451474849273441
10,leaky,20,0.005451474849273441
10,leaky,40,0.0054675326573826455
10,anti_leakage,1,0.005706549179286369
10,anti_leakage,5,0.005707577290249732
10,anti_leakage,10,0.005435365635615974
10,anti_leakage,20,0.005419205016410356
10,anti_leakage,40,0.005627391060800013
11,leaky,1,-0.028342650130014246
11,leaky,5,-0.02805441474891268
11,leaky,10,-0.028342650130014246
11,leaky,20,-0.027958363227582828
11,leaky,40,-0.027958363227582828
11,anti_leakage,1,-0.028342650130014246
11,anti_leakage,5,-0.02805441474891268
11,anti_leakage,10,-0.02824662554772106
11,anti_leakage,20,-0.02794257464283001
11,anti_leakage,40,-0.027974609775964665
12,leaky,1,0.02429632439731999
12,leaky,5,0.02431249909217592
12,leaky,10,0.024344360042069524
12,leaky,20,0.02436039107815524
12,leaky,40,0.024360362346401265
12,anti_leakage,1,0.02429632439731999
12,anti_leakage,5,0.024248374947832718
12,anti_leakage,10,0.024248374947832607
12,anti_leakage,20,0.024280437020004264
12,anti_leakage,40,0.024280437020004264
13,leaky,1,-0.031006618767598138
13,leaky,5,-0.03088011215125741
13,leaky,10,-0.031087291735815814
13,leaky,20,-0.03081461258880358
13,leaky,40,-0.030976480909956527
13,anti_leakage,1,-0.031006618767598138
13,anti_leakage,5,-0.03088011215125741
13,anti_leakage,10,-0.031087291735815814
13,anti_leakage,20,-0.031072431760881813
13,anti_leakage,40,-0.030976480909956527
14,leaky,1,0.046548183372525975
14,leaky,5,0.047156156010119354
14,leaky,10,0.047156156010119354
14,leaky,20,0.04728428937179008
14,leaky,40,0.04728428937179008
14,anti_leakage,1,0.046548183372525975
14,anti_leakage,5,0.04693223867648988
14,anti_leakage,10,0.04702833869774303
14,anti_leakage,20,0.046980331784747476
14,anti_leakage,40,0.046467999460342635
15,leaky,1,-0.027926171857152182
15,leaky,5,-0.027894171345144048
15,leaky,10,-0.02779816673687363
15,leaky,20,-0.029094248918120957
15,leaky,40,-0.028950243541838394
15,anti_leakage,1,-0.027926171857152182
15,anti_leakage,5,-0.027894171345144048
15,anti_leakage,10,-0.027878170321078644
15,anti_leakage,20,-0.027878170321078644
15,anti_leakage,40,-0.027894169809021152
16,leaky,1,0.01937909076958233
16,leaky,5,0.01894566533097508
16,leaky,10,0.018977625021868616
16,leaky,20,0.01955544089220318
16,leaky,40,0.01955544089220318
16,anti_leakage,1,0.01937909076958233
16,anti_leakage,5,0.019507437820006523
16,anti_leakage,10,0.01952343884407204
16,anti_leakage,20,0.018400571581808967
16,anti_leakage,40,0.01838457055774345
17,leaky,1,0.0005742282621363781
17,leaky,5,0.0005422236534727842
17,leaky,10,0.000542227238906956
17,leaky,20,0.0005742372257216966
17,leaky,40,0.0005742282621364891
17,anti_leakage,1,0.0005742282621363781
17,anti_leakage,5,0.0005742390184387824
17,anti_leakage,10,0.00039819574361832366
17,anti_leakage,20,0.000494259765685956
17,anti_leakage,40,0.0004462456818222771
18,leaky,1,0.014769294437968594
18,leaky,5,0.015089698154546083
18,leaky,10,0.015185741940817565
18,leaky,20,0.015217771925037815
18,leaky,40,0.015153735039792005
18,anti_leakage,1,0.014769294437968594
18,anti_leakage,5,0.015217771925037815
18,anti_leakage,10,0.015153711956597316
18,anti_leakage,20,0.015009605881599497
18,anti_leakage,40,0.014977587438976592
19,leaky,1,-0.043611219534587686
19,leaky,5,-0.04373957491136793
19,leaky,10,-0.0435310108101119
19,leaky,20,-0.04357902360229937
19,leaky,40,-0.043595081410408576
19,anti_leakage,1,-0.043611219534587686
19,anti_leakage,5,-0.04369153534715697
19,anti_leakage,10,-0.04364330837878272
19,anti_leakage,20,-0.04364330837878272
19,anti_leakage,40,-0.043836109164186454
20,leaky,1,0.012292564102564296
20,leaky,5,0.012356641025641268
20,leaky,10,0.0122605897435899
20,leaky,20,0.01234064102564103
20,leaky,40,0.012356641025641268
20,anti_leakage,1,0.012292564102564296
20,anti_leakage,5,0.011636307692307613
20,anti_leakage,10,0.011668410256410189
20,anti_leakage,20,0.01155625641025626
20,anti_leakage,40,0.011476051282051203
21,leaky,1,0.0035134802473510973
21,leaky,5,0.004875585883650224
21,leaky,10,0.0035294566544565864
21,leaky,20,0.004827533577533627
21,leaky,40,0.005260127417385574
21,anti_leakage,1,0.0035134802473510973
21,anti_leakage,5,0.004875585883650224
21,anti_leakage,10,0.0035294566544565864
21,anti_leakage,20,0.004363159242191439
21,anti_leakage,40,0.004843682303359964
22,leaky,1,0.041097054395582866
22,leaky,5,0.0413865461190539
22,leaky,10,0.04109704534705172
22,leaky,20,0.04082359175714756
22,leaky,40,0.041113128723273995
22,anti_leakage,1,0.041097054395582866
22,anti_leakage,5,0.0413865461190539
22,anti_leakage,10,0.04085584899490324
22,anti_leakage,20,0.04082359175714756
22,anti_leakage,40,0.04075931254344478
23,leaky,1,0.008117221613507475
23,leaky,5,0.00755881867104391
23,leaky,10,0.007510735755250297
23,leaky,20,0.007574831224886336
23,leaky,40,0.00759088903299554
23,anti_leakage,1,0.008117221613507475
23,anti_leakage,5,0.008069048189179862
23,anti_leakage,10,0.008213161173759698
23,anti_leakage,20,0.008100937534063046
23,anti_leakage,40,0.007956824549483321
24,leaky,1,0.0025949736741047724
24,leaky,5,0.0025949736741047724
24,leaky,10,0.0026109739301090062
24,leaky,20,0.0025629893068869203
24,leaky,40,0.0024829880268664173
24,anti_leakage,1,0.0025949736741047724
24,anti_leakage,5,0.0024509067909069815
24,anti_leakage,10,0.001970382477493815
24,anti_leakage,20,0.0019224785782232523
24,anti_leakage,40,0.0020024152790826255
25,leaky,1,0.013556247727353421
25,leaky,5,0.013812291767530849
25,leaky,10,0.014884483804820103
25,leaky,20,0.014660444373306603
25,leaky,40,0.014868485085922534
25,anti_leakage,1,0.013556247727353421
25,anti_leakage,5,0.013588259506885247
25,anti_leakage,10,0.01371628331969077
25,anti_leakage,20,0.013668271028544399
25,anti_leakage,40,0.01368427691831009
26,leaky,1,-0.016818613420159112
26,leaky,5,-0.016482214746860735
26,leaky,10,-0.016337425848399256
26,leaky,20,-0.016546150221341538
26,leaky,40,-0.016337950244682098
26,anti_leakage,1,-0.016818613420159112
26,anti_leakage,5,-0.016545625825058474
26,anti_leakage,10,-0.016337294749328102
26,anti_leakage,20,-0.016689562579560002
26,anti_leakage,40,-0.016417558227490137
27,leaky,1,0.011480469840697283
27,leaky,5,0.01148064223122136
27,leaky,10,0.011416604282140197
27,leaky,20,0.011480613499467607
27,leaky,40,0.011480613499467607
27,anti_leakage,1,0.011480469840697283
27,anti_leakage,5,0.01148064223122136
27,anti_leakage,10,0.011416604282140197
27,anti_leakage,20,0.011320446797379313
27,anti_leakage,40,0.011336075588908257
28,leaky,1,0.026455622790373057
28,leaky,5,0.02658367402975803
28,leaky,10,0.026567231051582096
28,leaky,20,0.026855592296960995
28,leaky,40,0.026759541569584044
28,anti_leakage,1,0.026455622790373057
28,anti_leakage,5,0.02658367402975803
28,anti_leakage,10,0.026679798544163802
28,anti_leakage,20,0.02647163534421504
28,anti_leakage,40,0.026679810842001883
29,leaky,1,-0.007657849753799129
29,leaky,5,-0.007609868208228621
29,leaky,10,-0.00765784462953667
29,leaky,20,-0.007721907136095552
29,leaky,40,-0.007577829268555103
29,anti_leakage,1,-0.007657849753799129
29,anti_leakage,5,-0.007609868208228621
29,anti_leakage,10,-0.008346031051162273
29,anti_leakage,20,-0.008474104821654116
29,anti_leakage,40,-0.008266005441655455
30,leaky,1,0.02033695445950534
30,leaky,5,0.01999911586473213
30,leaky,10,0.020640235724183165
30,leaky,20,0.02078555097377688
30,leaky,40,0.02070446695661976
30,anti_leakage,1,0.02033695445950534
30,anti_leakage,5,0.020256495066828473
30,anti_leakage,10,0.020640235724183165
30,anti_leakage,20,0.02078555097377688
30,anti_leakage,40,0.02070446695661976
31,leaky,1,-0.036576220445668106
31,leaky,5,-0.03648008346769327
31,leaky,10,-0.03635204469187703
31,leaky,20,-0.0363519522094945
31,leaky,40,-0.03635210634679864
31,anti_leakage,1,-0.036576220445668106
31,anti_leakage,5,-0.036624196452272884
31,anti_leakage,10,-0.03635204469187703
31,anti_leakage,20,-0.036448181669851976
31,anti_leakage,40,-0.03644821249731289
32,leaky,1,0.007252719312215938
32,leaky,5,0.007365403475243282
32,leaky,10,0.007365403475243282
32,leaky,20,0.007268822371797268
32,leaky,40,0.007365403475243282
32,anti_leakage,1,0.007252719312215938
32,anti_leakage,5,0.006754418562198827
32,anti_leakage,10,0.0068830567686402055
32,anti_leakage,20,0.007204484641555431
32,anti_leakage,40,0.006915225633761124
33,leaky,1,0.021765299889659584
33,leaky,5,0.02246998476250528
33,leaky,10,0.021813278294451566
33,leaky,20,0.022437900641025688
33,leaky,40,0.022469968342791136
33,anti_leakage,1,0.021765299889659584
33,anti_leakage,5,0.021829500972047056
33,anti_leakage,10,0.021829500972047056
33,anti_leakage,20,0.02179748252942404
33,anti_leakage,40,0.021829484552332912
34,leaky,1,-0.009824538740893951
34,leaky,5,-0.00947234252302065
34,leaky,10,-0.009088053533369833
34,leaky,20,-0.008959977707756805
34,leaky,40,-0.009008003066721115
34,anti_leakage,1,-0.009824538740893951
34,anti_leakage,5,-0.00979253823833448
34,anti_leakage,10,-0.010833071279143347
34,anti_leakage,20,-0.00972847572040314
34,anti_leakage,40,-0.009744512879369949
35,leaky,1,-0.009269339139344246
35,leaky,5,-0.009189293032787038
35,leaky,10,-0.009189293032786927
35,leaky,20,-0.009365394467212962
35,leaky,40,-0.00915727459016391
35,anti_leakage,1,-0.009269339139344246
35,anti_leakage,5,-0.009269339139344246
35,anti_leakage,10,-0.009269339139344246
35,anti_leakage,20,-0.009285348360655754
35,anti_leakage,40,-0.009909707991803351
36,leaky,1,0.03802822444767395
36,leaky,5,0.03793159369010768
36,leaky,10,0.037899462416545515
36,leaky,20,0.03802822444767384
36,leaky,40,0.03802822444767395
36,anti_leakage,1,0.03802822444767395
36,anti_leakage,5,0.03739010077715288
36,anti_leakage,10,0.03777306975421746
36,anti_leakage,20,0.03778907615677851
36,anti_leakage,40,0.03778872075145845
37,leaky,1,0.0066496229854570155
37,leaky,5,0.006649595257637642
37,leaky,10,0.006633613764145507
37,leaky,20,0.006649595257637642
37,leaky,40,0.0066496229854570155
37,anti_leakage,1,0.0066496229854570155
37,anti_leakage,5,0.006649595257637642
37,anti_leakage,10,0.006649567529818379
37,anti_leakage,20,0.0066335583085068706
37,anti_leakage,40,0.0066496229854570155
38,leaky,1,-0.010240585481504416
38,leaky,5,-0.010272592908130984
38,leaky,10,-0.010256591884065469
38,leaky,20,-0.010272592908130984
38,leaky,40,-0.010256586505569931
38,anti_leakage,1,-0.010240585481504416
38,anti_leakage,5,-0.011312804691769207
38,anti_leakage,10,-0.011472798796938188
38,anti_leakage,20,-0.011328773444861828
38,anti_leakage,40,-0.011232772678963943
39,leaky,1,-0.010931792474000002
39,leaky,5,-0.010915791962385235
39,leaky,10,-0.010915845743895813
39,leaky,20,-0.011091901567735318
39,leaky,40,-0.010963874169495513
39,anti_leakage,1,-0.010931792474000002
39,anti_leakage,5,-0.010931792474000002
39,anti_leakage,10,-0.011027817056293077
39,anti_leakage,20,-0.011155914370496678
39,anti_leakage,40,-0.010979808350580655
40,leaky,1,-0.008309341432536477
40,leaky,5,-0.008229222744121523
40,leaky,10,-0.008229222744121523
40,leaky,20,-0.008229222744121412
40,leaky,40,-0.008229222744121523
40,anti_leakage,1,-0.008309341432536477
40,anti_leakage,5,-0.0082446559277507
40,anti_leakage,10,-0.008628112664887055
40,anti_leakage,20,-0.00845244210442786
40,anti_leakage,40,-0.00845244210442786
41,leaky,1,0.002235660335182077
41,leaky,5,0.0028155993201783858
41,leaky,10,0.0037197505934498665
41,leaky,20,0.003299423395838774
41,leaky,40,0.003364018706219385
41,anti_leakage,1,0.002235660335182077
41,anti_leakage,5,0.0028155993201783858
41,anti_leakage,10,0.0037197505934498665
41,anti_leakage,20,0.002734946718230491
41,anti_leakage,40,0.003977948762916572
42,leaky,1,-0.004831999999999836
42,leaky,5,-0.0045279999999999765
42,leaky,10,-0.0047360000000000735
42,leaky,20,-0.0046080000000001675
42,leaky,40,-0.0046560000000002155
42,anti_leakage,1,-0.004831999999999836
42,anti_leakage,5,-0.0045279999999999765
42,anti_leakage,10,-0.0047360000000000735
42,anti_leakage,20,-0.0046080000000001675
42,anti_leakage,40,-0.0047680000000001055
43,leaky,1,-0.03053903516181089
43,leaky,5,-0.030723704447086053
43,leaky,10,-0.030518971428235786
43,leaky,20,-0.030589957941944745
43,leaky,40,-0.03063860995903378
43,anti_leakage,1,-0.03053903516181089
43,anti_leakage,5,-0.030571234134346592
43,anti_leakage,10,-0.030529543020722638
43,anti_leakage,20,-0.03058787334631352
43,anti_leakage,40,-0.03054554942328347
44,leaky,1,0.004499262104903368
44,leaky,5,0.005349271362920405
44,leaky,10,0.005220919905601695
44,leaky,20,0.005590027477003656
44,leaky,40,0.005525629733234783
44,anti_leakage,1,0.004499262104903368
44,anti_leakage,5,0.004066533842615683
44,anti_leakage,10,0.004739907211431693
44,anti_leakage,20,0.00449931760868072
44,anti_leakage,40,0.004851978845531901
45,leaky,1,-0.03703365961769289
45,leaky,5,-0.03709768522793744
45,leaky,10,-0.03700160833564192
45,leaky,20,-0.03668111475359381
45,leaky,40,-0.03703362114076403
45,anti_leakage,1,-0.03703365961769289
45,anti_leakage,5,-0.03709780065872492
45,anti_leakage,10,-0.037097742943331236
45,anti_leakage,20,-0.03732194800997324
45,anti_leakage,40,-0.03709780065872503
46,leaky,1,0.02483927613053405
46,leaky,5,0.02448716064294565
46,leaky,10,0.024215040524406484
46,leaky,20,0.024599225192126095
46,leaky,40,0.024615231594687148
46,anti_leakage,1,0.02483927613053405
46,anti_leakage,5,0.02416701286047207
46,anti_leakage,10,0.0239269055470549
46,anti_leakage,20,0.023926902728304444
46,anti_leakage,40,0.023830853037936528
47,leaky,1,-0.0005278074602741434
47,leaky,5,-0.0003518489382471346
47,leaky,10,-0.00033584663391528213
47,leaky,20,-0.00033584663391528213
47,leaky,40,-0.00035184893824702357
47,anti_leakage,1,-0.0005278074602741434
47,anti_leakage,5,-0.0003518489382471346
47,anti_leakage,10,-0.0003518489382471346
47,anti_leakage,20,-0.00033584663391528213
47,anti_leakage,40,-0.00035184893824702357
48,leaky,1,-0.016921098629203657
48,leaky,5,-0.016809051750349635
48,leaky,10,-0.0166969843724748
48,leaky,20,-0.01682496180908799
48,leaky,40,-0.016808949255245786
48,anti_leakage,1,-0.016921098629203657
48,anti_leakage,5,-0.01703310451001605
48,anti_leakage,10,-0.0166969843724748
48,anti_leakage,20,-0.016584937493620888
48,anti_leakage,40,-0.016632944406616335
49,leaky,1,0.03763186030155341
49,leaky,5,0.03820870485537564
49,leaky,10,0.03825676869126926
49,leaky,20,0.03828879379895367
49,leaky,40,0.038272781245111465
49,anti_leakage,1,0.03763186030155341
49,anti_leakage,5,0.03782405020920998
49,anti_leakage,10,0.037952216075865075
49,anti_leakage,20,0.03787210095792015
49,anti_leakage,40,0.037952216075865075
50,leaky,1,0.032088870564786265
50,leaky,5,0.03220087542906047
50,leaky,10,0.03205686928471674
50,leaky,20,0.03221687491700331
50,leaky,40,0.032216875685064705
50,anti_leakage,1,0.032088870564786265
50,anti_leakage,5,0.03220087542906047
50,anti_leakage,10,0.032056868516655124
50,anti_leakage,20,0.03221687491700331
50,anti_leakage,40,0.032024867236585486
